filename,path,size_mb,vendor,model,objective_power,mpp_x,mpp_y,width,height,n_levels,software,scan_date,status,error
a19593bf-357f-11eb-96fe-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593bf-357f-11eb-96fe-001a7dda7111.ndpi,1962.691075,hamamatsu,,40,0.227811190085657,0.2278060004100508,106496,94976,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593c1-357f-11eb-bb24-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593c1-357f-11eb-bb24-001a7dda7111.ndpi,372.682163,hamamatsu,,40,0.227811190085657,0.2278060004100508,57344,54016,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593c2-357f-11eb-b9c0-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593c2-357f-11eb-b9c0-001a7dda7111.ndpi,3031.97078,hamamatsu,,40,0.227811190085657,0.2278060004100508,135168,99072,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593c6-357f-11eb-b657-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593c6-357f-11eb-b657-001a7dda7111.ndpi,2229.684143,hamamatsu,,40,0.227811190085657,0.22780081097088706,90112,94464,9,NDP.scan 2.5.85,2008/05/16,ok,
a19593ce-357f-11eb-b8ef-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593ce-357f-11eb-b8ef-001a7dda7111.ndpi,245.411949,hamamatsu,,40,0.227811190085657,0.2278060004100508,40960,45312,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593d0-357f-11eb-9fea-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593d0-357f-11eb-9fea-001a7dda7111.ndpi,3821.89624,hamamatsu,,40,0.227811190085657,0.22780081097088706,151552,105728,9,NDP.scan 2.5.85,2008/05/16,ok,
a19593d8-357f-11eb-b8b7-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593d8-357f-11eb-b8b7-001a7dda7111.ndpi,467.429187,hamamatsu,,40,0.227811190085657,0.2278060004100508,49152,57856,10,NDP.scan 3.2.15,2008/05/16,ok,
a19593d9-357f-11eb-991f-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593d9-357f-11eb-991f-001a7dda7111.ndpi,393.74051,hamamatsu,,40,0.227811190085657,0.2278060004100508,61440,66560,11,NDP.scan 3.2.15,2008/05/16,ok,
a19593df-357f-11eb-86a4-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593df-357f-11eb-86a4-001a7dda7111.ndpi,2154.548299,hamamatsu,,40,0.227811190085657,0.2278060004100508,86016,100096,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593e1-357f-11eb-ad0e-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593e1-357f-11eb-ad0e-001a7dda7111.ndpi,2511.401671,hamamatsu,,40,0.227811190085657,0.22780081097088706,143360,104448,12,NDP.scan 2.5.85,2008/05/16,ok,
a19593e2-357f-11eb-a6ac-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593e2-357f-11eb-a6ac-001a7dda7111.ndpi,205.050636,hamamatsu,,40,0.227811190085657,0.2278060004100508,49152,40192,9,NDP.scan 3.2.15,2008/05/16,ok,
a19593e9-357f-11eb-8689-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593e9-357f-11eb-8689-001a7dda7111.ndpi,238.477089,hamamatsu,,40,0.227811190085657,0.2278060004100508,40960,39936,10,NDP.scan 3.2.15,2008/05/16,ok,
a19593ec-357f-11eb-8adf-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593ec-357f-11eb-8adf-001a7dda7111.ndpi,2946.424897,hamamatsu,,40,0.227811190085657,0.22780081097088706,122880,96768,10,NDP.scan 2.5.85,2008/05/16,ok,
a19593ee-357f-11eb-a1ac-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593ee-357f-11eb-a1ac-001a7dda7111.ndpi,2624.052844,hamamatsu,,40,0.227811190085657,0.22780081097088706,114688,94208,12,NDP.scan 2.5.85,2008/05/16,ok,
a19593fa-357f-11eb-bd30-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593fa-357f-11eb-bd30-001a7dda7111.ndpi,1888.645581,hamamatsu,,40,0.227811190085657,0.2278060004100508,90112,80384,10,NDP.scan 3.2.15,2008/05/16,ok,
a19593fd-357f-11eb-98f7-001a7dda7111.ndpi,data/raw/ebrains/wsi/a19593fd-357f-11eb-98f7-001a7dda7111.ndpi,1182.548387,hamamatsu,,40,0.227811190085657,0.2278060004100508,81920,74496,9,NDP.scan 3.2.15,2008/05/16,ok,
a195940e-357f-11eb-86d1-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195940e-357f-11eb-86d1-001a7dda7111.ndpi,113.932805,hamamatsu,,40,0.227811190085657,0.2278060004100508,36864,25600,10,NDP.scan 3.2.15,2008/05/16,ok,
a1959414-357f-11eb-a366-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1959414-357f-11eb-a366-001a7dda7111.ndpi,156.487625,hamamatsu,,40,0.227811190085657,0.22780081097088706,32768,34560,9,NDP.scan 2.5.85,2008/05/16,ok,
a1959419-357f-11eb-b848-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1959419-357f-11eb-b848-001a7dda7111.ndpi,1961.242719,hamamatsu,,40,0.227811190085657,0.2278060004100508,77824,86528,10,NDP.scan 3.2.15,2008/05/16,ok,
a1959422-357f-11eb-b8d5-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1959422-357f-11eb-b8d5-001a7dda7111.ndpi,187.663754,hamamatsu,,40,0.227811190085657,0.22780081097088706,28672,38656,9,NDP.scan 2.5.85,2008/05/16,ok,
a195942f-357f-11eb-93a5-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195942f-357f-11eb-93a5-001a7dda7111.ndpi,1844.594378,hamamatsu,,40,0.227811190085657,0.2278060004100508,102400,87296,9,NDP.scan 3.2.15,2008/05/16,ok,
a1959438-357f-11eb-af8c-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1959438-357f-11eb-af8c-001a7dda7111.ndpi,2134.313399,hamamatsu,,40,0.227811190085657,0.2278060004100508,73728,93184,11,NDP.scan 3.2.15,2008/05/16,ok,
a195943f-357f-11eb-bfb8-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195943f-357f-11eb-bfb8-001a7dda7111.ndpi,1658.552522,hamamatsu,,40,0.227811190085657,0.22780081097088706,86016,104704,9,NDP.scan 2.5.85,2008/05/16,ok,
a1959440-357f-11eb-99c0-001a7dda7111.ndpi,data/raw/ebrains/wsi/a1959440-357f-11eb-99c0-001a7dda7111.ndpi,1387.600357,hamamatsu,,40,0.227811190085657,0.22780081097088706,90112,61952,10,NDP.scan 2.5.85,2008/05/16,ok,
a195bac7-357f-11eb-bfc8-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195bac7-357f-11eb-bfc8-001a7dda7111.ndpi,2265.047715,hamamatsu,,40,0.227811190085657,0.2278060004100508,106496,78848,11,NDP.scan 3.2.15,2008/05/16,ok,
a195bacc-357f-11eb-803c-001a7dda7111.ndpi,data/raw/ebrains/wsi/a195bacc-357f-11eb-803c-001a7dda7111.ndpi,997.410881,hamamatsu,,40,0.227811190085657,0.22780081097088706,77824,79360,10,NDP.scan 2.5.85,2008/05/16,ok,
